Brand,Design,Performance,Camera,Battery,Price
LG,8.3,9.4,8,8.8,7.2
Sony,8,9,9,7.7,9.4
Google,9.5,7.8,8.2,9.3,8.3
OnePlus,7.3,8.7,8.2,7.9,8.5
LG,8,8.1,7.5,8.4,7.6
OnePlus,9.4,7.6,8.5,7.1,8.2
Apple,9.2,9.1,7.5,8.1,8.1
Google,9,7.1,7.8,9.1,7.2
Xiaomi,7.6,9.3,9.1,9,7.3
Google,7.4,8.2,7.5,7.6,9.1
LG,8.7,8.6,7.2,7.6,7.6
Xiaomi,9.3,8.6,7.2,9,7.5
Apple,8.4,9.2,9.4,9.3,8.3
LG,8.4,8.6,8.3,7.2,8.9
Samsung,7.7,8.5,8,8.1,7.2
OnePlus,8.9,7.2,9,7.8,8.4
Apple,7.5,8.3,9.1,9.2,7.3
OnePlus,7.8,7.4,7.8,7.2,7.1
Sony,8.1,8.8,8.7,7.5,7.1
Samsung,8.3,8.3,8.9,8.9,9.1
Samsung,7.6,8.7,8.6,7.1,7.3
Apple,7.3,7.1,7.4,8.2,7.1
Samsung,8.5,7.2,9.2,8.1,8.1
Xiaomi,7.7,8.8,8.3,7.8,9.1
Samsung,8.5,7.2,7.7,8,7.7
OnePlus,7.4,7.2,8.1,8.3,8.1
OnePlus,8.2,7,7.1,7.4,7.1
LG,8.3,9.4,7.3,8.4,8.1
OnePlus,7.1,8.8,8.9,9,8.4
LG,7.8,7.9,7,8.9,8.4
OnePlus,7.3,7.7,8,7.4,7.8
Xiaomi,7.2,7.9,8.3,7.4,7.8
LG,9.5,8.9,7.1,7.7,7.3
Google,7.8,8.7,9.4,7.9,7.9
Sony,9,7.5,7.6,8,7.2
Apple,7.6,7.4,7.8,8.7,8.9
OnePlus,8.7,7.2,7.8,7.1,9.4
Samsung,8.9,8.7,7.6,7.1,9.4
OnePlus,8.5,8.9,7,8,9.2
Samsung,8.2,7.7,8.8,8.7,8.5
Sony,8,7.1,9.4,7.5,8.8
Sony,7.9,7.2,7.6,8.6,7.7
Sony,9.3,9.4,8.7,7.6,8.6
Samsung,9.1,7.7,8.9,9.2,8.1
OnePlus,9.4,8.9,9.1,9.2,8.2
Sony,7.3,8.6,8.1,7.7,8.9
Xiaomi,8.8,8,7.8,7.6,7.7
LG,9.3,7.5,7.8,8,7.8
Samsung,7.5,7.3,8.8,7.6,9.3
Samsung,7.2,8.5,9,8.7,7.1
OnePlus,8.9,8.9,7.5,9.1,8.2
Samsung,8.4,8.6,7.9,8.7,9.3
Samsung,9.1,8.3,9.3,9.1,8.5
Sony,7.3,7.1,9,8,8.4
OnePlus,9,9.4,9.5,7.4,7.6
Sony,7.5,9,8.9,8.8,7.9
LG,7.4,7.7,8,7.9,9.1
LG,7.4,9.4,8.5,8.7,8.4
Sony,9,8.5,8.7,7.7,8.3
LG,8.7,8.5,7.2,7.2,7.2
OnePlus,8.3,8.9,8.4,9.5,7
Apple,7.9,9,8.8,7.4,9.4
Sony,9.2,8.6,7.4,9.5,7.9
Xiaomi,8,7.3,9,9.4,8.5
Xiaomi,9,7.8,8.5,9,7.2
Samsung,8.1,9.3,9.4,8.6,8.7
LG,7.9,7.6,7.1,8.4,9.3
Xiaomi,8.2,7.9,7.7,9.2,8.4
Samsung,7.8,8.1,8.5,7.7,7.3
Apple,8.9,8.1,7.7,8.2,8.5
OnePlus,8.3,8.5,8.8,8.5,8.9
OnePlus,7.6,9.4,8.9,8,8
OnePlus,9.2,7.6,7.3,8.1,9.2
Xiaomi,8,7.3,8.3,7.8,8.6
Apple,8.4,7.5,8.3,8.4,9.2
Xiaomi,9.3,9.2,7.9,9.1,8.6
LG,8.6,8.6,9.3,7.5,7.3
Xiaomi,7.3,7.7,9.1,9.3,7.8
Apple,9.3,9,8.7,8.7,7.5
Apple,8.6,9.2,8.8,9.1,9.3
LG,7.8,9.1,8.2,8.4,8.9
Apple,7.3,9.3,9.3,8.9,8.7
Apple,9,7.6,8.7,7,7.8
OnePlus,8.6,8.9,8.8,9,7.5
LG,8.3,8.2,9.2,7.1,8.9
Google,9.2,9.1,7.7,9.2,8.2
Google,9,8.8,9,9.5,7.6
Apple,7.4,8.9,7.5,7.7,8.5
Google,7.8,8.6,7.9,7.5,7.1
Google,7.6,7.4,7.8,8.9,7.8
Apple,8.9,8.4,9.4,7.6,8.2
Google,7.1,9.5,9.1,9.2,7.4
Xiaomi,8.4,9.3,8.8,7.3,9.5
Samsung,8.9,7.1,8.8,7.3,7.5
LG,9.2,7.4,8.4,9.4,7.3
Samsung,7.9,7.3,9.4,8.7,7.5
Apple,9.1,8.8,8.2,9.1,8.9
OnePlus,7.3,9,8,7.8,8.1
LG,9.1,7.5,7.4,8.7,8.4
Apple,7.3,8.3,9,8.5,7.1
OnePlus,8,9.1,8.8,8.5,7.1
Samsung,9,8.8,8,8.7,8.1
Apple,7.4,8.4,7.1,8.4,9
LG,7.6,8.5,9.1,8.1,9.2
LG,8.8,8.3,7,7.7,7.2
Sony,8.8,7.7,8.8,8.9,8.3
Xiaomi,8.6,8.4,9.4,7.6,9.3
Google,8.7,8.7,8.1,8.7,8
OnePlus,8.4,9.2,7.6,7.6,9.1
Sony,7.6,8.6,8.8,8.6,7.3
Google,7.9,8.9,9,8.9,9.3
Google,7.5,7.4,8.4,7.5,8.9
Apple,9.3,8.2,9.4,7.1,9.4
Google,8.5,7,7.1,7.3,8.7
Xiaomi,8,7.6,8.3,8.5,7.9
LG,8.2,8.8,8.8,9.1,9.3
Sony,9.4,9.5,9.2,7.1,7.7
Google,7.4,7.2,7.4,8.8,7.8
Apple,8.5,8,9,7.9,8.8
Xiaomi,8.3,9,8.4,8.2,8.9
Samsung,8.5,7.5,8,9.3,9.3
LG,7,8.4,7.3,7.8,7.5
LG,9.2,8.8,9.2,8.2,9
Sony,9.3,8.5,7.4,7,8.8
LG,8.4,7.5,7.8,7.2,7.2
Google,8.7,7.9,7.7,7.6,8
Apple,9.3,9,9.2,7.1,7.7
LG,8.8,8.4,8.7,8.6,7.8
LG,7.4,7,9,8.1,9.5
Samsung,8.4,8.9,7.6,8.4,8.6
Samsung,8.5,7.1,8.6,7.4,8.8
OnePlus,8.1,8.9,8.4,7.7,9.4
Xiaomi,8.8,7.5,9.1,8.7,7.9
Google,9.3,9.4,9.3,9.4,9
LG,9.3,7.9,7,7.1,8.1
LG,8.1,7.8,8.7,9.2,9.2
Apple,7.3,7.4,7.1,8.4,7.5
OnePlus,9.5,7.8,8.4,8.4,9.4
Xiaomi,9.1,9.2,7.7,8.3,7.5
OnePlus,7.3,9.5,7.8,7.2,7.8
Sony,9.3,7.9,7.9,7.2,8.9
Xiaomi,9.2,8.1,8.6,8.5,8
LG,8.3,8.8,7.8,7.9,8.5
LG,8.5,9.2,8.8,9.3,8.1
Xiaomi,8,8.5,8,8,8.9
LG,7.1,8,7.2,7.4,7.6
Google,7.8,8,9,8.8,7.1
Xiaomi,9,8.7,7.7,7.7,7.7
OnePlus,7,7,8.1,8.3,8.2
Xiaomi,7.8,8.5,8.7,8.7,7.4
LG,8,7.9,7.8,9.3,7.9
Google,8.3,9,7.1,9,8
Google,9.3,7.2,7.9,8.7,7.1
Sony,7.9,8.5,9.4,8.7,8.5
OnePlus,7.9,8.2,8.6,9.4,9.2
Samsung,8.8,8.6,8.7,7.7,7.4
Samsung,8.1,7.2,8.6,7,8.5
Xiaomi,7.6,8.4,7.5,7.7,8.7
Sony,8.1,8.4,8,7.5,8
Apple,7.4,8.4,8.9,8.7,8.8
Xiaomi,7.4,8.5,7.3,8.6,8
Sony,8.2,8.7,7.7,8.5,8.3
OnePlus,8,9,7.7,7,7
OnePlus,9.3,7.7,8.1,8.8,8.7
OnePlus,7.9,9.1,9.5,7.8,8.7
OnePlus,8.5,8.2,7.2,8.7,7.1
OnePlus,8.6,7.2,8.3,8.4,7.9
Sony,7,7.1,7.4,7.9,9.4
Sony,8.7,7.8,9.4,7.3,8.1
Google,7.4,9,7.3,7.2,8.3
Samsung,9.4,8.8,8,9.1,9.3
LG,7.4,9,8.8,9.3,8.8
OnePlus,8,8.3,8.8,8.6,8.5
Apple,7.2,8.1,8.1,7.3,9
LG,9.5,7.4,7.9,8,9.2
Sony,8.3,7.8,8,8.8,8.1
Apple,8.5,8.1,7.7,8.9,8.2
Apple,7.2,7.2,7.5,7.3,8
Apple,8.9,7.6,8.2,7,9.4
Google,7.5,8.5,7.7,8.8,8.7
Sony,9.2,8.8,7.7,7.9,7.2
Apple,7.5,9.5,8.6,7.6,9.2
OnePlus,7.5,9.3,9.4,7,8.2
Xiaomi,7.1,8.6,8.5,8.4,7.2
Apple,8.2,8.1,7.2,9.1,8.4
Google,8.4,8.6,7.2,9.4,8
LG,7.2,9,9.4,8.4,9.2
Sony,8.9,7.3,7.7,8.3,7.5
Google,8.1,8,7.2,7.2,9.1
Apple,8.3,9.1,8.5,8.4,8.4
Sony,8.1,8,8.6,7.9,7.1
Xiaomi,8,8.4,8.6,8.5,9.4
Apple,8.4,8.5,7.7,8,8.3
Google,7.4,7.5,7,7.6,7.7
Samsung,7.5,7.9,9.4,7.2,8.2
OnePlus,9.2,7.8,7.6,7.8,9.1
LG,9.4,7.1,8.7,7.2,7.8
Google,7.9,7.1,8.8,7.4,7.5
Sony,7.7,9.1,8.5,9.5,7.3
Apple,8.6,7.7,7.8,8.1,7.7
OnePlus,8,8.3,7.7,8.3,9
Apple,7.1,7.7,8.5,9.2,8.2
Sony,7.4,9.4,9.2,9.5,7.6
Apple,8.8,7.6,9.4,8.5,7.4
Samsung,8.6,8.1,7.3,9,7.8
OnePlus,7.1,9.2,7.4,7.8,9.3
OnePlus,7.6,9.1,9.4,7.8,7.9
Sony,7.6,7.5,8.8,8,9.5
LG,8.7,9,9.2,8.7,8.2
Samsung,7,8.1,7.5,8.7,7.4
Google,7.3,8.2,8.5,7.8,9.2
Apple,9,7.3,8.8,7.3,8.2
Xiaomi,7.4,7.2,8.7,8.6,8.8
Apple,8.6,8.8,8,7.3,9.5
Apple,7.6,8.2,7,8.4,7.1
Google,7.2,8.1,8.5,8.7,7.2
Apple,7.6,8.8,7.6,8.8,8.8
Samsung,8.8,8.9,8.1,8.9,7.7
Samsung,9.1,7.4,9.4,9.2,7.5
OnePlus,9.1,8.5,8,8.2,7.1
Sony,8,7.3,9.1,8.8,7.1
LG,8.7,8.9,7.5,8.5,8.9
Xiaomi,7.5,8.6,8.7,7.5,7.3
Apple,7.7,9.4,9.4,7.1,8.2
Apple,9.2,7.2,7.3,7.7,8.5
Google,7,7.1,7,8.1,8.1
Sony,7.2,7.7,8.1,8.5,7.1
Samsung,7.5,7.7,7.2,9.1,9
Xiaomi,7.1,7.6,8.9,7.5,7
OnePlus,7.5,9.3,9.3,7.3,8.9
Samsung,8.5,7.6,8.1,9.4,9.2
Sony,8.1,7.7,7.6,7.3,8.1
LG,9.2,8.9,8.1,8.2,8.3
OnePlus,9,8.1,8.8,8.5,8.2
LG,7.9,8.9,7,8.4,8
Google,7.6,7.2,8.5,7.2,9.2
Google,7.9,8.2,8.5,7.1,9.2
Apple,8.5,7.1,8.6,7.3,7.8
LG,7.7,7.2,7.6,8.5,8.5
Sony,8.6,9.3,8.8,8.4,9.3
Xiaomi,8,7.3,7.2,7.6,9.4
OnePlus,8.4,8.3,7.5,8.6,8.3
Samsung,8.1,8,9.2,9.1,8.1
Sony,7.7,7.9,8.8,7.1,7.7
Sony,9.4,9.2,7,8.2,9.4
Google,8.9,7.1,7.6,8.7,7.4
LG,7.4,8.7,7.5,7.6,8.4
Apple,9.2,9.4,7.7,7.8,7.7
Apple,8.2,8.4,7.6,8.5,7.7
OnePlus,9.2,9.3,7.2,9.2,8
Google,9,7.1,8.1,9,9.5
Sony,8.1,8,8.8,8.5,7.1
Xiaomi,7.1,7.7,8.5,8.8,8.4
Google,7.7,8.8,8.7,7.9,7.2
OnePlus,8.4,9.5,7.2,8.6,7.4
OnePlus,8.6,7.6,9.4,8.2,8.1
Google,7.6,8.6,9.1,7.5,8.3
OnePlus,7.3,7.5,9,8.8,7.6
Google,9.1,8.4,9.1,8.4,7.8
Samsung,9.5,8.2,9.3,7.9,7.2
Google,8.3,9.4,8.4,9.3,7.8
LG,7.4,8.5,7.5,7.1,9.4
Google,7.7,7.9,8.5,7.8,9.4
OnePlus,7,7.3,8.9,7.1,7.8
LG,9.3,7.4,8.8,8.9,8.4
OnePlus,7.3,7.6,8.3,8.8,9.3
Apple,8.4,7.6,7.2,7.8,7
Apple,7.7,9.1,7.9,8.7,9
LG,8.4,8.4,9.3,8,9.4
Samsung,8.6,8.3,8.5,8.9,7.2
Apple,9.1,7.3,8.3,8.1,7.4
Google,7.5,9.2,7.7,8,9.4
OnePlus,7,8.8,7.9,9.3,8.3
Apple,7.3,7.2,9.2,7.6,7
Apple,9.3,8.8,8.7,7.3,7.6
Samsung,9.2,8.4,9,8.5,8.1
LG,8.5,7.2,8.1,9.4,8.7
LG,8.5,8.1,8.6,7.9,8.8
Sony,8.7,8.2,7.6,7.2,9.5
Samsung,7.4,7.4,8.8,7.8,7.7
Google,9.3,9.4,8.1,8.3,8.3
LG,8,9.1,8.1,7.4,8.3
OnePlus,8,8.7,8.6,8.6,8
Samsung,8.3,8.2,9.3,9.5,7.4
Apple,7.1,8,7.2,8.1,9.4
OnePlus,7.4,8.6,9.1,7.9,9.1
OnePlus,8.8,8.4,7.7,8,8.2
Apple,7.2,7.2,8.1,7.3,8.5
Samsung,8.5,8.3,7.1,9.2,7.6
Apple,7.6,9,7.8,8,8.4
Sony,8,8.1,8.3,8,8.7
OnePlus,7.7,7.1,7.1,8.6,8.3
Xiaomi,7.9,9,8.2,8.1,9.5
Xiaomi,8.8,7.5,9.3,8.6,8.5
Google,7.7,7.6,7.3,7.2,7.9
LG,8.4,7.4,8.9,9,8.9
Apple,8.2,7.8,8,9.4,7.4
Apple,8.7,8.9,8.6,8.6,8
Google,9.3,8.3,7.7,9.4,7.9
Google,8.8,7.5,7.4,7.4,8.1
Google,7.5,9.2,7.4,8.2,9
OnePlus,7.1,9.2,7.2,8.5,8.2
Sony,7.7,9.2,7.5,8.5,9
Apple,8.5,7.6,8.7,8,8.4
OnePlus,7.1,8.1,9.2,7.8,7.9
Google,8.2,9.5,9,7.3,9
Apple,8.5,8.9,8.7,8,7.6
OnePlus,7.8,7.1,7.3,7.4,7.6
Sony,8.9,7.2,7.7,8.8,8.3
OnePlus,7.3,8.2,7.8,7.5,7.7
Sony,7.2,9.3,7.6,7.1,7
Google,8.8,8.3,8.3,8.4,8.6
Sony,8.2,8.2,8.3,8.5,8.3
Apple,8.7,7.3,7.9,9.2,8.1
Google,8.1,8.6,7.9,8.4,9.4
Apple,7.6,9.1,9.1,7.9,8.4
Xiaomi,9,8,9,9,9.2
Samsung,9,8.9,7.8,8.4,7.3
Sony,8.7,9.4,9.3,7.2,8.4
Samsung,7.7,7.5,9.4,8.4,9.2
Samsung,8.5,8.3,7.8,9.3,8.5
Sony,7.9,7.7,7.9,8,8.8
Google,7.2,9,8.3,7.7,7.9
Xiaomi,9.3,8.4,9.4,7.4,7.2
Apple,7.3,8.6,9.2,7.4,8.1
OnePlus,9.4,9,7.3,8.1,8
Apple,8.1,8,8,8.5,9.2
OnePlus,7.5,9.3,8.4,7.2,7.6
Apple,8.4,8.3,8.3,9.3,9.4
Sony,9.2,7.4,7.5,8.9,9.4
Xiaomi,8.8,8.7,9.1,8.5,7.6
OnePlus,9,9,8.7,9.1,7.9
LG,8.6,7.8,9.1,7.2,9.2
Google,8.7,9.1,9.1,8.2,9.4
Apple,9.1,9.3,8.9,8.6,8.1
Apple,7.6,7.7,8.1,9.1,7.8
OnePlus,8.2,9.5,8.5,9,8.3
Google,7.6,7.4,7.4,7.7,8.7
Google,9.5,7.5,8.7,9.4,7.7
Sony,9.4,7.5,7.4,7.3,8.8
LG,7.1,9.2,8.7,9.2,7.1
Sony,8.8,8.6,7.6,9.4,7.1
Sony,9.3,7.4,7.3,7.4,8
Sony,7.5,8.1,7.4,8.8,7.9
Sony,8.4,8.5,7,7.1,7.8
Sony,9.3,7.2,8.8,8,8.2
Xiaomi,7.1,9.2,8.8,8.3,7.8
Google,8.7,9,8.3,8.5,7.5
Sony,7.7,8.3,7.4,9.3,7.8
Google,9.3,9.4,7.2,8.7,9.4
Google,9.4,8,7,8.2,8
Samsung,9.4,9.5,7.4,9,8.1
Xiaomi,8.2,8.7,9.2,9.4,8.4
Sony,9.2,8.6,7.6,7.1,9.5
Apple,9.1,7.4,7.9,9.5,7.6
OnePlus,7.8,9.2,7.3,7.2,8.7
LG,9.1,8.1,7.6,9,8.8
Apple,7.1,7.4,8.3,7.7,8.5
Xiaomi,8.5,7,8.5,7.3,7.2
OnePlus,7.6,8.4,7.6,8.1,8.7
Xiaomi,7.3,8.3,7.1,8.6,7.2
Google,7.2,8.8,8,8,8.5
OnePlus,8.7,9.2,7.6,7.1,8.8
Google,7.8,7.2,7.5,8.5,7.5
Apple,8.8,8.8,9.4,9.3,9.1
Apple,7.2,7.5,8.5,8,7.1
OnePlus,7.8,9.1,8.4,7.5,9.1
OnePlus,8.3,9,8,8.1,8.2
Sony,9,8.4,8.1,7.1,7.5
Xiaomi,7.8,8.8,8.4,9.1,7.3
Sony,8.6,7.8,8.7,9.1,9.4
Xiaomi,9.2,8.2,8.8,8.5,7.2
Sony,8.5,9.1,7.4,7.9,7.5
Google,7.6,8.1,8.3,9,7.9
OnePlus,7.1,7.9,8,8.4,8.6
Apple,9.2,8.2,9.2,9.1,8.4
Xiaomi,7.1,9.1,8.6,8.6,7.3
Xiaomi,9.2,7.8,8.3,9,7.7
Apple,8.3,7.4,7.3,8.5,7.6
Sony,9.3,8.8,8.5,8,7.5
Xiaomi,9,9.1,7.3,9.4,8
LG,9.5,7.3,7.8,8.4,8.8
Google,7.9,7.6,7.4,8.5,7.5
OnePlus,8.9,7.4,8.7,7.6,7.9
Apple,8,7.9,7.5,8.6,8
OnePlus,8.2,8.1,8,8.4,9.4
LG,8.6,8.9,9.2,7.5,9.4
Xiaomi,9.2,8.6,7.5,7.1,9
Xiaomi,9.5,8.6,8.3,8.5,7.6
LG,8.9,7.9,8,8.9,7.2
Apple,8,9.1,7,8.3,7.8
Google,8.1,8.2,9,7.6,7.7
Samsung,8.8,9.4,7.2,8.7,8.3
Apple,7.6,8.6,8.2,7.2,8.9
Samsung,7.3,7.3,8.4,8.1,9.1
LG,7.9,8.7,8.6,7.4,9.1
Sony,7.7,7.8,8.7,7.5,7.9
Samsung,7.7,8.7,7.6,7.5,8.7
Google,7.6,7.2,7,8,7.8
Sony,7.1,7.4,8.8,7.1,7.2
Samsung,7,9.1,8.3,8,8.8
LG,9.5,7.6,9.1,8.3,7
Sony,8.1,9.1,9.1,8.2,8
LG,8,7.7,9.1,8,7.8
Samsung,8.7,8.6,8.2,9.1,8.7
LG,7.5,8.7,7.8,7.4,8.9
Google,9.4,8.3,9,8.3,7.8
Samsung,9,7.8,8.1,7.2,9
Samsung,7.2,7.5,7.5,7.2,7.7
Samsung,8,7.1,9.1,8.4,8.1
Apple,9.2,7.8,9.2,8.4,8.8
Apple,9.4,8.6,8.2,9.2,8.7
Apple,8.2,9.3,7.2,8.4,9.5
Google,8.5,9.2,8,9.4,7.6
Sony,7.4,8.9,9,7.1,8.7
LG,9.5,9,9.3,7.2,8.5
Xiaomi,7.6,8.7,7.5,7.1,9.3
Samsung,9.4,7.7,7.2,7.5,7.4
LG,8.6,9.3,9.2,8.4,8.9
Samsung,8.5,8.7,8,8.6,8.4
Google,8.3,8.4,8.4,7.1,7.7
Samsung,7.6,7.3,9.4,9.4,8.2
Apple,7.4,8.1,7.2,9.1,7.8
Xiaomi,7.6,8.2,8.6,7.7,8.4
OnePlus,7.5,9.2,7.2,7.2,9.2
Samsung,8.9,8.4,7.9,7.4,8.4
LG,7.9,8,9,7.3,8.6
Apple,7.1,9.4,8.1,7.3,8.3
OnePlus,9.4,7.3,9.5,8.3,7.1
Xiaomi,9.2,8.1,8.4,7.6,7.6
OnePlus,9.3,7.1,7.8,7.9,8.2
Apple,9.5,8.8,7.6,9.5,7.8
Sony,7.4,9.3,7.9,8.7,7.5
Sony,8,7.7,7.9,9.4,8.3
OnePlus,8.9,9.1,7.2,7.4,7.8
Google,8.7,7.7,7.9,8,7.6
LG,7.4,9.3,8.2,8.4,8.2
LG,9,8.9,8.8,7.2,7.3
OnePlus,7.6,9,8.6,7,9.3
Samsung,7.6,7,8.8,8.7,9.2
Samsung,8.3,9.4,7,8.6,8.8
LG,8.5,8.8,7.5,8,7.3
LG,8.5,7.8,8.7,8.2,8.9
Sony,7.2,9.1,8.2,8,9
Google,9.2,7.7,7,7.1,8.9
Apple,7.7,9.2,9,7.8,7.3
Samsung,7.3,7.3,8.9,7.4,8.6
LG,9.2,8.8,8.4,7.2,9.1
Sony,9.4,8.4,7.2,9.4,8.4
Xiaomi,9.2,7.2,8.9,8.5,8.6
Sony,9,7.6,8.5,8.8,8.1
Samsung,8.6,7,9,7.8,8.3
Samsung,8.4,8.2,8.9,8,7.1
Sony,7.2,7.8,9,7.6,8.6
Apple,8,8.5,8.3,7.2,7.2
OnePlus,7.9,7.7,7.4,7.4,8.1
Samsung,7.6,7.7,8.7,9,7.7
Sony,8.8,8.9,8.6,8.7,8.4
LG,8.2,7.1,8.9,8.4,7.3
Sony,7.2,9.3,7.4,8.2,8.7
Google,7.6,9.1,7.5,9.3,9
OnePlus,8.7,8.7,9.2,7.2,7.4
Xiaomi,7.2,8.5,8.9,7.7,7.3
Apple,9.1,9.2,9.3,7.9,7.4
Xiaomi,8.2,7.5,8.9,9,9.2
OnePlus,8.2,7.2,8.5,9.5,8.3
OnePlus,8.5,7.6,8.6,7.6,8.2
OnePlus,9.1,9,9.2,9.2,7.3
Xiaomi,7.9,7.1,8.4,9.1,8.6
LG,8.7,8.5,8.6,7.6,9.2
OnePlus,8.4,9.5,7.4,8,9.1
Sony,7.7,9.1,8.2,8,8.6
Xiaomi,9.2,8.3,8.8,9.4,7.2
OnePlus,9,7.2,7.7,7.5,7.3
Sony,8.6,9.1,7.5,9,7.1
LG,9.1,8.5,7.8,7.8,7.6
Google,9.2,7.3,7.6,8.8,7.3
LG,8.8,7.2,7.5,8.1,7.7
OnePlus,9.1,9.3,8.1,8.4,8
Xiaomi,8.7,8.7,9.3,9.1,9.4
Samsung,8.7,9.1,8.3,9,8.5
OnePlus,8.5,9.2,7.5,9.2,9.1
Samsung,8.9,8.4,7.2,7.1,8.8
Sony,7.4,8.3,8.7,8.7,7.3
Google,9.2,8.1,8,7.3,8.8
Apple,9.2,7.8,9.1,8,7.7
LG,7.1,8.1,8.6,8.4,8.6
Google,9.1,8.9,9,8,7.9
OnePlus,7.3,8.5,7.7,8.3,9.5
Samsung,7.8,9.2,8.7,9.5,7.7
LG,8.9,8.1,7.7,7.3,7.7
Samsung,7.4,8.5,9.3,8.7,9.3
Xiaomi,9,8.6,8.6,8,7.1
Samsung,9.1,8.5,7.8,7.3,8.7
Xiaomi,8.3,8.8,7.7,7.4,8.8
Sony,7,7.6,7.5,9.4,9.1
LG,7.7,8.3,8.7,9.2,9.4
LG,8.5,7.3,7.5,9.3,9.4
Apple,9.5,8,8.5,9.5,7.2
OnePlus,8.6,8.2,7.7,7.5,9.1
Xiaomi,7.6,8.6,8.7,7.9,8.6
Apple,8.6,9.4,9,8.7,8.6
Samsung,8.3,8.5,8.9,8.2,7.3
Samsung,8.9,8.9,8.9,8,8.6
Apple,7.3,8.3,7.5,7.9,9.5
LG,8.9,8.6,7.2,8.5,9.3
Samsung,8.4,7.2,8.7,8.4,8.1
Sony,9.4,7.6,7.9,7.4,7.1
Sony,7.9,7.9,8.1,8.2,7.9
Apple,8.6,8.2,7.1,8.4,9.1
Xiaomi,9.3,7.1,7.6,8.4,8.8
Xiaomi,7.3,7.4,7.1,7.5,8.1
Apple,9.3,7.7,9.2,8.9,7.1
Xiaomi,8.7,9.4,7.6,7.1,8.1
LG,7.2,7.8,8.4,7.9,8.2
LG,7.8,8.2,7.1,9,9.3
Xiaomi,8.8,7.5,8.7,8.4,8.6
Sony,7.2,8.5,7.8,7.7,7.8
Xiaomi,8.5,7.7,9.2,8.7,8.3
LG,7.9,7.5,9.2,8.4,7.2
Google,8.6,8.3,7.8,9,9.4
OnePlus,7.1,7,9.3,8.8,7.9
Samsung,9.2,7,9.5,8.5,8.2
Google,9.4,7.5,9.1,8.2,7.9
Xiaomi,9.4,7.1,9.1,7.3,8.7
Sony,8.9,7.3,7.6,7.7,8.7
Apple,7.3,7.8,8.4,8,8.8
Xiaomi,8.9,9,7.2,8.5,7.7
Sony,7.1,8.4,7.2,8.3,7.8
OnePlus,7.1,8.3,9.5,7.7,7.3
Xiaomi,7.8,7.7,7.8,7,8.6
LG,8.2,9.3,8.9,8.2,7.1
Apple,8.9,8,9,7.7,8.5
Sony,8.7,7.2,9.1,8.8,9.2
Sony,8.1,8.5,9.5,7.1,9.2
Sony,7.7,7.3,7.6,8.5,8.1
OnePlus,9.5,7.9,7.1,9.4,8.1
Xiaomi,8.1,8.3,8,7.4,7.2
OnePlus,8.1,9.2,7.3,8.2,8.7
Samsung,7.4,8.2,7.1,7.2,9.1
Samsung,9,8.8,7.9,8.6,7.6
Xiaomi,8.7,9.5,9,8.4,8.1
LG,7.6,7.3,8.4,8,9.1
OnePlus,7.2,7.7,7.8,8.3,9.2
Apple,8.7,8,8.6,9.2,7.6
Sony,8.6,8.1,7.6,7.5,8.4
Sony,7.7,8,7,7.1,7.5
Xiaomi,9.4,9.3,8.9,9.2,7.3
LG,7.4,8.8,8.6,8.4,9.3
Samsung,8.1,8.5,8.9,9.2,9.1
